"","text"
"252","we arrived at the park in the evening and were told that we couldnt go up the garudawisnu statue after pm but that we could still get the tickets to the park complex we told the staff member who was helping us that wed like to go up "
"253","it was ok k for entry k to shuttle to the statue the park is still along way from finished might be worth a visit if its your first time they have traditional dances every hour "
"254","good place but seems still not finalized offers a few restaurants nice giant carvings of ramayana characters and some cultural performances pathways are carved from giant rocks looks like work in progress may take a few years to complete  entry is ticketed you can watch once an hour cultural performance as well"
"255","nice place to visit in the evenings we went here especially for the cultural program which we waited impatiently to end as we didnt understand the context tip hire a guide who can translate it the performers were nice and agreed to "
"256","amazing scenery and statue it has reopened since december its a little bit confusing finding motorcycles parking but again it was an amazing experience to be in this park"
"257","the highest  biggest statue at baliwell maintained area  surroundings well connected with very good roads"
"258","it is not finish and you cant go up in the main statue little bit expensive but you can walk trhru the park and enjoy the views"
"259","how fun no english translation though so you will need a guide to explain we didnt go up to the to the top of gwk but walked around inside and in the park"
"260","ok nice place tickets worth it"
"261","had a lot of memories to be here i still remember how traditional balinese dance called tari kecak and musical drama called ramayana got me speechless when i first saw it and also barong the iconic part of bali  they have the biggest "
"262","worth visitingstunned by big statuesits very very big areaonly thing is u have to walk lottr is also buggy ride but they charge k per ticketgo early asap to avoid tanningits  really hotmake sure have ur sunglasseshat or umbrella if u want good picspick colourful dressu got lot of  photospotsnjy ur "
"263","too bad i was arrive at  so the statue is closed  this is one of the best indonesian monument i have seen the detailed is very good and the park layout is comfortable they provide free wheel chair for elder people there are kecak dance performance at  see photos"
"264","iam differently abled man visited with my family   nos we payed the entrance fee and bungee tickets i was told i will be droped back while going they dropped me haf way and driver refused to help me it took me almost  hours to reach back "
"265","nice ambience many photo spots we can see traditional balinese dances better to buy ticket online which cost k per person for entrance fee instead of k if you buy at the locket if you want to go up to the observatory floor in the "
"266","was looking for more of a museum this place is very big and the entry fee is steep k but when  i went the only things to see were  statues a vast courtyard and a traditional dance for which there was no explanation plus  "
"267","due to g most of the spots are closed moreover most of the sights are under construction and it seems that it will take further years to finalize the project "
"268","this is a really nice place to visit and walk around though it is abit of a walk to the top but there is a option to catch a car up the top and walk back down for a fee of  indonesian per person it is still under construction in parts but beautiful place still"
"269","the park is not fully finished but it is already amazing  it is divided into small scene or stage until you reach the main garuda wisnu kencana statue if you wish to see the whole park pretty sure you will spend more than  hour some show is also available depending on the schedule"
"270","many times i go to this place and still really nice but when u go to gwk for watching concert or event dont bring the car or use car because the traffic really bad"
"271","this is a must visit on you journey to bali the statue is the first noticeable structure that you can see from the airoplane the park is about  mins from the airport google mpas are very accurate the entrance fee is reasonable  usd "
"272","an amazingly beautiful centre the stroll up and the scenery along the way is gorgeous  when you reach the statue it is absolutely astounding how they have managed  to construct the humongous monument  although this center is still in "
"273","fantastic structure very well thought of need to organize transfers for senior citizens of all foreigners with special tickets cost"
"274","incredible a must see when in bali"
"275","i caught a grab scooter from my hotel in seminyak to the park  cost  idr entry price was  for foreigners easy walk up the hill then into the park lots of great sculptures to see i flew my drone for some good shots of the "
"276","beautiful park amazing statue it would be a decent walk up thankfully you can get a cheap ride to the top of the hill where its sits for only rp but take note they wont go out of the way to point out the return on the ticket is "
"277","amazing place a perfect balance between modernity and tradition one can easily spend  hours exploring the place in its entirety though this monument is not the tallest in the world but its probably the prettiest"
"278","large park with several attractions the entrance ticket is a bit steep idr  including a drink coupon and i have to say i was underwhelmed it was unbearably hot and even though the large statues were quite impressively built i "
"279","smile on staff will make your day sculpture and story behind it is breathtaking site is massive and you need atleast  hrs to cruise around "
"280","among the most fulfilling experience i have had in bali such beautiful place and such well maintained it is a lesson in how to keep your heritage alive and be proud of it it is a cultural park and it is huge you really have to visit it to see how well maintained it is seriously a must visit place in bali i was overwhelmed"
"281","its a legacy a brilliant idea to create this but maybe bcs its during covid time if they put more restaurants with reasonable price hotels  this place gonna be next best onethe view is amazing but the ticket entrance is quite "
"282","this was realy great experience to visited gwk cultural park one place for many iconic spot suck like three statue and asana artseum with in  more place instagramable photo spot area "
"283","one stop cultural park in bali you can see various dance performance in selected time"
"284","have been here for  times but atill amazed with this park the statue has been completed and it looks magnificent and great "
"285","great place to enjoy cultural experienceits going on at this national park  highest statue in asia and nd highest in the world of vishnu with garuda "
"286","an extraordinary park to visitwe can enjoy the panorama as well as educationcultural side "
"287","awesome place but entry to the upper levels should be made free as we already paid twice reaching to the gwk statute one for entry and one for transport they provide"
"288","more improvement is on progress the new statue has completed but still you cant access closer to the new one they are now in progress to make connection road from old statue to the new one at least other facilities are better than before toilet parking lot souvenir shop theater etc"
"289","absolutely a must visit place in ulluwatu the place is very clean and well made and has some amazing views of bali from there be prepared to walk around to reach the main place inside worth the visit"
"290","absolutely a great display of the history and culture of bali"
"291","a lovely spiritual place to visit they have free shuttle from parking to spot where we can buy entrance ticket and also have paid shuttlerp  to the largest statue  u get welcome drink in the package  take umbrella as its quite hot"
"292","it is a vast area and very hot day for daylight tour so come handy with the situation you can enjoy show of  different kinds of dancing in every hour souvenir shop and museum restaurants are also available in this area ticket fee are "
"293","this place is great quite big so i recommend you to take a shuttle bus to take you to the main building then you may go by walk not only you may see sculptures of wisnu or garuda but also you may visit a theatre highly recommend this place"
"294","it is amazing how people can build such sculpture so big and detail many appreciation for the creator mrnyoman nuarta for this amazing artwork and become one of the greatest in the world  "
"295","ive got a lot of memories here i came here on  its six year already till i come here again just miss this place so much miss the memory and miss the person i came here with sad there are some temple inside here so if you are "
"296","a large cultural park with huge statues the overall layout of the park is well designed the pathways are easy to navigate and the attractions are all within  minutes of each other "
"297","its impressive there are a lot of different things to see at the parking you can catch a free ride to de entree there you pay  each one free drink and a scarf are  included in the price there are many things to see like a "
"298","giant statue very cool to see k entry but you see three statues and there is a food court starbucks gift shop clothings stops and a nice restaurant "
"299","worth a visit if you are in uluwatu"
"300","visited the gwk cultural park and really enjoyed exploring the area although the statues and park are relatively new they act as a vehicle to share the history of the island and beliefs super cool place to learn more history and to get some great photos visitors should definitely stop by the theater to see one of the shows as well"
"301","beautiful place and relic nice to walk around and enjoy some performing art not the best to be clear but still enjoyable use them as a reference to see the real balinese dances elsewhere what they call a museum is rather a cultural "
"302","worlds tallest sculpture of a hindu god"
"303","healing place feeling peacefully  "
"304","very nice park very clean and well maintained the staff is very friendly the huge rocks and huge statues in the park are very impressive it is definitely worth a visit"
"305","the great place for having fun"
"306","the number one place to visit if you would like to know about the rich and vast culture of bali a fusion of traditional grandeur and modern infrastructure there are also exciting performances ranging from exotic balinese dance repertoire "
"307","there is bus that takes visitors from parking to the entrance park the place is clean and nice interesting place to visit and take photos every spot has toilet and prayer room shuttle car scotter and bike are available to use with its "
"308","overall impression is fine although the park does seem a little empty still but the main question is   why do i have to park my bike in the mud when theres an empty car park right next to it makes no sense and its the first impression you get  "
"309","one of the master piece in bali the highest statue in bali garuda wisnu kencana gwk they have spacious parking lot  metres away from the tickets locket "
"310","beautiful place to visit and one can spend the entire day enjoying the beauty of that location so much influence of hindu culture makes you feel close to home the main statue is visible from across bali ample parking space available and "
"311","gwk or garuda wisnu kencana is a wonderful cultural park located south of kuta and lord wisnu sitting on his vehicle garuda can be seen while you land at the bali airport you can imagine it is so huge it is the largest statue or sculpture "
"312","huge statue park bring sunscreen if theres no clouds awesome balinese dance performance in the arena bicycles to rent this is a huge park lots of walking involved"
"313","chilling with family and kids here is really recommended thing gwk has some shops are open now so you can get there for chill out with friends as well in late afternoon is much better so you can see sun goes down as well"
"314","its really worth it to visit the gwk with the entrance you obtain a free drink and you can see the statue it was not possible to go to the top and the typical balinese dance it was really entertaining to arrive you need to take the bus and also to walk a bit"
"315","exotic place being iconic symbol of the goddes city it is visible from most of bali areas the surrounding areas are well managed as well even there are a lot of empty stores in the parking lot but it becomes alives as people "
"316","the statues are the reason you want to visit massive slabs of limestone that have been cut and shaped these figures are the size of buildings and will impress any curious traveller the price is a bit steep compared to the rest of your "
"317","magnificent view photographic locations dont forget to carry an umbrella and be ready to walk final wisnu statue top visit is not included in the entry ticket"
"318","the way to entry gate from the ticketing was little bit far by foot but u can rental some buggy car with extra charge"
"319","this place is crowded yet you can feel the solemnity in every inch of the ground the ticket is a bit pricey but its totally worth it you can get the discount on travel app such as traveloka btw"
"320","its an ok experience nothing much to see except the statues entrance fee is k idr plus dont remember the exact price unless you are planning to see some of their programs like dances or parade around once every an hour then it will be much more worth it"
"321","the world biggest and highest no you can see nice city view good restaurants can buy any souvenirs and cultural show the art gallery will be open january  should be go evening time "
"322","its a new attraction for tourists even though it is called cultural park everything in there will be charged the parking the entrance the scooter or bicycle even if you want to take the elevator to see a gallery where you cannot take "
"323","we are recommended to go to this place for anyone visited bali the entrance ticket should be pay at souvenir store near the entranceexit door if we want to buy some food for lunch they have several restaurants or food court or cafe before entrance door nice place and it is not too far away from jimbaran"
"324","amazing doesnt cover it just be aware that there is so much walking uphill and so many stairs but its so worth it if you like terrifyingly humongous structures this statue is out of this world its beautiful and so worth it and the "
"325","beautiful place to visit do not visit during the day too hot  the show is also lovely entrance fee  rupiah"
"326","you will find big statues round and all over you will have the view of bali when you go on top there is an event of kecak dance in the evening time you even find some place where people use electric cycles to play and have fun"
"327","nice place the last time i went here is about  or  years ago compare to that now its more amazing  you will receive a selendang after you paid the ticket at the ticket booth tie the selendang around your "
"328","its getting better everytime i visit this place still hasnt completed yet but cool already and the toilet got aircond i have no clue why but outside is very hot and humid dont forget your cap sunglasses and sunscreen "
"329","dont waste your time definition of a tourist trap place is rundown and ratty"
"330","awesome place many perfect scenes to make a good photograph the statues themself are remarkable the dancing shows are also nice to watch and more importantly they have  quite comfortable mushollas"
"331","just visit on cloudy days or in the afternoon cause its really hot during noon this place has a really great potential but still not quite finished the statue of gwk is really huge parking spot is far from the entrance of the park so "
"332","beautiful place to visit quite many things to do here watching traditional dance having lunch or take a sip of coffee in starbucks and rest for a while or watching the folklore in animation with your kids and walking and hiking a "
"333","if you visiting the top temple take the shuttle ride up it is kinda of a long walk on the other hand you can walk and enjoy the scenery and other attractions within the facility "
"334","such a beautiful cultural park amazing people behind it amazing place you can find almost every cultural art here music dance arts name it and the place is awesome "
"335","good place and you will enjoy the full day if can handle the heat this place is hot as it can get rest have planned everything for from morning till evening "
"336","its a huge park to explore best time to go during the sunset you can enjoy the temple and the statue  restaurant and shopping complex is inside must visit"
"337","this place has been built in a very attractive manner keeping in mind about the enjoyment of tourists there are shopping stores cultural shows monuments statues of different types i would recommend this place for every tourist visiting bali"
"338","built for tourists large sculptures  with a few basic gardens great large rock walls tourists shops and thats it sorry not worth the entrance fee i found the driveway leading there with a cool path  much nicer with bronze animals and free"
"339","although the gwk statue can be seen even from canngu and it is magnificent i think k per person for the ticket is a bit pricey also it is far away from everything but it is impressive and has a great religious value"
"340","amazing cultural park with giant statues need some effort to walk and explore everything this place offers i strongly advice you to come here wearing comfortable walking or hiking shoes sunscreen comfortable outfit and hat some "
"341","really huge place taking a buggy to the top makes sense if you are tired and want to save some time some parts are still under construction but the statue is too huge and can be seen from kms away too"
"342","these statues are truly amazing and well worth the visit but the park in itself is incomplete i hope this gets completed very soon as it would be simply breathtaking"
"343","its a cultural park where all the art things met in one place outside and inside its iconic statue was the garuda wisnu kencana giant statue that everyone will find it to be captured on their stories it was late evening when i came here so i couldnt come inside and took a closer picture with gwk statue as the background photo"
"344","statues were impressive but i thought the gardens would be nicer  not quite what id expected"
"345","very large place with a lot an awesome spot to pose also amazing statue standing there"
"346","mau tau harga dan ada acara apa aja bisa diliat di foto postingan saya kalau mau ke statue utama daftar sama penjaga tiket masuk gwk y "
"347","spend more time or skip it  fourth tallest statue in the world "
"348","great tourism site in bali not to be missed"
"349","the statue called garuda wisnu kencana is indeed magnificent but theres nothing beside the statue itself despite the huge area and the high cost of k or around  dollar this price is on sale expect the ticket price will return to k "
"350","a great place to experience a vast landscape of huge rocks statues of gods and traditional balinese performances you can rent a bike to explore the area but you may want to remember the times when performances start"
"351","best place to visitvery huge statue and beautiful area carry umbrella sunglasses and water bcz it very hot and the area is very big but we enjoyed here very much"
"352","sadly very overpriced for the small amount of statues museum is actually only a place for taking pictures have to pay for costume tourist trap place  could do much more of it statue was worth it though so "
"353","fantastic view and beautiful scenary watcing lime stone carved for lord vishnu and garuda you will need to take shuttle after parking the car and unforgetable experience with the family"
"354","world class tourist attraction  much improved under the new property king management  they just need to improve further the fb outlets availability promotional to attract people to get to their restaurants cafes"
"355","its a good place to visit neat and clean multiple entry tickets should be avoided also reduce the entry ticket price"
"356","gwk is such a wonderful place to visit i like the ambience i tell you to buy a drink in case you are thirsty"
"357","this is a must visit destination in bali a majestic sculpture of wishnu and garuda taller than the liberty statue not to mention they have a whole other attraction spots in the area they have auditorium a movie theatre lots of open "
"358","amazed by the beauty of the giant statue garuda wishnu kencana and other statues in the area its a quite interesting tourism object the whole area are well maintained ticket kpax theres shuttle bus service with additional k to take you from the entrance to the main statue bike for rent also available"
"359","the statue was fantastic visiting inside is a must hearing how it is constructed was fascinating balinese dancers were worth a visit "
"360","i like the scenery you can register at a price of idr  person  you can walk or buy a ticket for the shuttle from the entrance  at the garuda wisnu kencana museum you can enter and buy tickets for idr  person to go "
"361","very nice ticket is for idr k worth going and spending your day and having food there place also some event and activities going during day and evening"
"362","returned to this place after  yrs the place is still well maintained"
"363","sure they have some great statue here but this project is older than myself yet its not finished till now id love to see the completed statue but the entrance fee is too expensive for locals i cant imagine the fee when its already finished"
"364","you have to spend  hours to get enough experience through out gwk cultural park yes the tickets are expensive"
"365","an amazing statue in bali made by native indonesian craftsmen garuda wisnu kencana can be used as a new experience to know the real balinese culture"
"366","ggod placegood everythingbest of the besti love balii love indonesia"
"367","nice place recommended next tour to bali"
"368","visit the largest metal statue in the world there is a tour to the th and rd floor of the statue which takes about min no cameras and mobile phones allowed though you will also find out the origins of the garuda"
"369","loved the place museum was well maintained and shopping centre was also good overall facilities to commute inside was very good"
"370","really impressive place i wouldnt bother with the shuttle service to the statue as the walk up is nice we didnt do the tour to the top but they have them at regular intervals throughout the day"
"371","seems unfinished lots of steps or rides to get to a nice monument with not much to see inside nice park but limited ability to walk or explore the upper deck is scheduled"
"372","one of unique destination in bali there are alot of good spot for good pictures we can shop souvenirs and there are some restaurants here ex bebek tepi sawah jendela bali resto we can spend our time about  hours here its so a large park with beautiful views"
"373","gwk is a huge park and you have various mode of transportation to go around you can walk rent bicycle or try their shuttle service kperson if youre travelling with seniors  yo there is free shuttle service from the "
"374","a must to visit place wonderful"
"375","it will rip your money you dont have to be near cause its hard for you to get a photo they provide shuttle for k rupiah the entry around ticket is k"
"376","long lines for tickets stupid management  why cant they put vending machines for tickets long lines for shuttles to the monument and to parking lots the shuttle dropoff lie to you and drop you off much earlier than the drop off point "
"377","i was a total ripoff entrance was  each person for basically a walk in a park not a beautiful one and a big statue to watch from the ground at the end of the park going up to the statue was another  what itself was not "
"378","the cultural park itself was a great experience was a bit disappointed to find it had been commercialised a bit i dont really see the need for a polo ralph lauren store there facilities were good and staff were friendly a bit of a wait for the shuttle bus back to the carpark"
"379","majestic one word to describe the main statue even the other gigantic statues in the surrounding courtyard are a sight to see definitely worth the trip "
"380","one of the best icon in bali for me amazing and also big area i came here with my family taking a lot of picture haha their staff is so nice and also we saw kecak dance"
"381","garuda wisnu kencana cultural park which placed in badung bali were an interesting place to visit the last time i went to garuda wisnu kencana was two years ago i have visited it for three times this place still made me satisfy with "
"382","very good place if you want to get closer to the big statue better you pay extra for shuttle because it quite long distance its better than you walk to reach there"
"383","best place to lookout for culture tradition in bali"
"384","a way more expensive than it deserves also be aware that entrance gate closes at pm  not at pm as it written in the information it is correct that the place is open until pm coz there is performance of balinese dancers next thing "
"385","very well maintained and clean they offer shuttle buses around the park interesting tours and a well organised schedule of performances included in the entry ticket all staff are friendly and well trained"
"386","got a trouble to find the parking area if you want to go inside the cultural park u need to take the bus provided by the management of gwk and its free to pick the visitor from parking area to the gate to buy tickets and go inside the "
"387","so far so good long time no see this place the last time ive pay visit for this place is when i was nd grade of senior high school for the asian beach games that had been held in bali in  and now after  years w o w for "
"388","this statue is amazing the sheer size of the gwk statue is a must see the complex itself has quite a few activities but the statue is the draw card entrance fee is a bit steep at idrp k for adults"
"389","its a beatiful place in bali who made by human big scluptures has made by an artist it has many values and tradition this place is so wide there are alot of places you must visit we can see art on every scluptures had made we can see "
"390","amazing park with the hindu god lord vishnu and his bird we went there during the day and it was just so hot as the area is quite big lots of rocks and stones with large free area "
"391","located on uuwatu area this is the famous gigantic balis cultural parkthe entrance ticket is expensive compared for what you get inside but indeed they need big money to maintain this huge park so please understand "
"392","modern heritage by nyoman nuarte the biggest statue in indonesia recently used annualy for the biggest music festival in south east asia soundrenaline aside from the annual event the place is open for public with only  rupiahperson"
"393","one of have to come spot in bali the giant statue of garuda wisnu kencana god of wisnu riding big eagle is already estabished on last year  very impressive"
"394","amazing place very big area they also have many great performance of traditional dance great for you who love art and dance inside the area also you can find bebek bengil which has delicious crispy duck"
"395","main thing first  must carry an umbrella sun tan lotion a cap and a looot of water  main statues of hindu god here while the other is still under construction dont go here to see the statues but you will fall in love with the "
"396","beautfiul view for the statue but not much so far it is a good place to hold a concert or event because the whole park is not done  the entertainment is not enough to attract people to go back to gwk"
"397","how come this place isnt on the main international tourist hit list of places to visit this gwk cultural centre is amazing and about to become one of the hugest sculptures and parks in  the southern hemisphere  gotta see it to belie "
"398","a complete place to go with the family you can see the statue garuda wishnu and museum for the family there are traditional dance show in the theater the place also have a shop for a lot of cute souvenir and handycraft"
"399","a celebration of wishnu and his ride garuda the park is a large complex of statues parks and shops and hotels all over a mountain well planned and managed the property is still undergoing construction to add more features and points of interest the main central garuda wishnu kencana statue is the worlds th largest statue"
"400","garuda wisnu kencana  the most beautiful place and full of artistic souls every corner is very "
"401","ticket price is k idr need to queue quite long but if you have traveloka apps you can bought the ticket there price is k idr and still need to queue only to exchange your ticket "
"402","this basically is like the statue of liberty in ny or eiffel tower in paris must see location for a tourist only minus is that the dance performance used to be with a live gamelan group but now its just a dance with music played from the speakers could be corona related so i hope they will change that again later"
"403","a beautiful park theres a free drink included in the entrance fee they have a lot of live shows around every hour or so in the amphitheatre the park is still under construction but what is available was really beautiful the statues are "
"404","the massive statue of god wisnu riding garuda can be seen from a distance the park has a festival area where one can see cultural performances such as barong and kechak dance the ticket price is a bit steep though"
"405","well lets talk about gwk on bali badung one of the biggest statue in indonesia theres many of culture atractive from bali over here yeay there is a schedule over write on the corner of this site this is become one destination of "
"406","too expensive for what it is  adults pay idr k and kids pay idr k normally kids should pay half in my opinion  so for a family of  this would have been idr kwe just wanted to go for a quick stroll  the ticket does include "
"407","the biggest statue in south east asia they have very large location reshuttle bus for free they have restaurant dance hall stores and etc  good vibe and fotogenic spots"
"408","very poorly organised allow  minutes on a quiet day to get to the statue  the statue is amazing and its a great place to watch up and coming instagram girls pout their duck lips and watch them review the photos  times before deciding on a good pic  most of them didnt look at the statue  "
"409","had an absolutely amazing time here at sunset very fair pricing and we had an lovely meal with a spectacular view after touring the park until dark highly recommend to anyone in bali it is simply stunning here"
"410","magic place in bali must go you will find the magnificent statue of vishnu riding a garuda and the balinese tradicional dance show kecak keep a day to go there and aprecciate all the atmosfere"
"411","its a cultural centre with a few statues conveying the story of lord krishna some people are invited to be blessed by the holy water and im glad i was one of them it can be really tiring walking around the huge area"
"412","you can see balinese dance and attraction here within certain hours this place is good for pictures with natural light prepare yourself woth sunblock high spf or hat and sunglasses to protect you from the blaring sunlight "
"413","there are a number of displays of historical significance there is a large rock carving of the mythical bird garuda which is very impressive there is also an enormous copper and brass sculpture of the hindu god wisnu perched on garuda there are also interactive displays and a gift shop to purchase momentos of your visit"
"414","a beautiful place to visit museum and dancing performance are well presented my kids are really excited to walk through the highest top of the statue to see entire island view from afar however we were very dissapointed that when buying "
"415","its a beautiful human made statue and wonderful etcnic dance performance"
"416","this is my nd visit after long time ago personally i dont really like this please since its mostly human made this time i visit with my bhutanese friends k for indonesians and k for foreigners with that amount of entrance fee "
"417","an experience like never before it is such a beautiful and majestic place to learn about the bali hinduism culture the place had fun games to play and some other plays the place offered truly is like never before"
"418"," amazing place great destination today attending social network activity of pgconfasia group  postgresql conference bali  btw wanna explore bali please find out explorebaliwithhappinesstours on google maps of yours have a great day"
"419","the statues were amazing but overall area seemed a bit underwhelming we learned inside the park that theyre planning to develop the area into a massive cultural park"
"420","great cultural park very worth a visit be prepared to walk since the amenities are added extras dont hesitate to linger at the festival grounds downstairs not at sculpture base because theres virtually nothing in the pedestal"
"421","nice place to visit with your family the tale was great story to tell to our children the sunset was epic with wonderful balinese kecak performance"
"422","the garuda wishnu statue is majestic parking is about idr and you get a free bus ride to the ticketing counter from the parking place entry tickets to statue are a little steep though  idr for adult and idr for "
"423","timing  please reserve  hours to enjoy the whole attractionsareas  lots of walking "
"424","as written and described in the back of guide leaflet for visiting the place  garuda wisnu kencana statue depicts wisnu riding garuda in hindu mithology lord wisnu is seen as the protector of the universe while his trusted companion "
"425","this is definitely a no go this place is over rated probably a lot of fake reviews it has been recently open but is not finished yet the shows are of poor quality and the sound is awful the only thing to see are big statues and the "
"426","there will be a huge statue built here and it will be the highest statue in indonesia this main statue is on progress garuda wisnu kencana  gwk park located at bali  at the side of street to "
"427","as a th highest statue in the world nice"
"428","this is a very nice place there are some massive unfinished statues and looks amazing over looking the kuta city the surrounding and the park is clean and well maintained and is suck a lovely place to spend time walk through the rock cut "
"429","amazing place loved our time there would have loved a guided or audio tour too nice place must visit awesome architecture"
"430","tourist attraction park the huge statue is impresive in size and there is also the oportunity of watching tradicional dances inside the park included in the entrance ticket price but if you are visiting bali in a hurry you can skip this one"
"431","marvel on earth though its yet to be fully completed go there on a partly cloudy day and spend your time exploring every place inside the cultural park worlds th largest statue"
"432","impressive statues designed by famous i nyoman nuarta for  years recently opened place is full of natural stones cut into alleys and sculptures"
"433","huge place but not really a lot to see an hour max is more enough they have a show there as well spoken in indonesian dont really understand is pretty pricey for entry fee for local price"
"434","so amaizing place "
"435","very unique cultural park in bali  statue is made of mettle and is huge"
"436","located in ungasan you could easily go to this cultural park from ngurah rai international airport around  minutesby car you could also use sarbagita bus if unluckily could not go there using car "
"437","having great moments there though sweating a lot cause of the sunny day at that time  many balinese performances can be watched with one entrance ticket only even can purchase ticket with lunch alrdy incl pefect choice  "
"438","for me who prefers natural landmarks over manbuild landmark  this is not so my favourite place however for people who are into art and local cultural things this place would be a great choice to experience the local culture and such "
"439","you should buy the tickets from traveloka less than k  or other websites and dont buy it on the spot k the difference is quite big for first timer its worth it to visit this place and the view is good"
"440","recommended for educational family trip  not only it is good to see our indonesian culture but also to enjoy the view  how they cut the cliffs and make it into a large art open space is amazing  you can see the gigantic statue from "
"441","very touristy ticket price high for what it is in my opinion even judging from western standard the cultural performance is underwhelming with only one dancer who keeps getting the audience to join in i didnt find this to be an authentic experience"
"442","money money money interesting place with some nice mega statues but somehow i find it very commercialised there are additional charges for transport and tour within the statue can be quite pricey k per pax if you add them all up "
"443","very detail and beautiful statue i love the show too kecak dance is very very beautiful and interesting they are building a new statue and still in progress"
"444","nice place good big statue  of garuda wisnu not yet completed the entry is a bit high to enter and have to walk a lot overall a one tim visit thing"
"445","the sculptures are impressive but overall its not worth a visit i would just find a nice view point to see the garuda wisnu kencana statue"
"446","come during the full moon period to see kecak dance in the lotus pond area usually in amphitheater tip bad public transportation they allow grabcar but the pricing is different and more expensive i suggest u rent a car"
"447","dont worth entrance fee empty museums a lot of construction not finished and the only attraction is a vishnu statue boring"
"448","one of my favorite place to come when i visit bali they have a lot of statue beside the main statue and also the park that with some green grass gwk has some traditional performance and you can choose the one that you like for me "
"449","very well organised park while there is buggy service to take you around it doesnt drop you back at the bus stop so there is some walking required"
"450","see the largest garuda statue they say its taller than the statue of liberty explore carved out limestone hills dine at the restaurant overlooking the lovely view of jimbaran bay area"
"451","a very beautiful cultural park indeed with a splendor of the statue of the god vishnu which reaches  m as a landmark of this region "
"452","gwk cultural park is a very big park it has indra garuda  garuda wisnu statues and all are ultimate in addition to that we can see bali cultural danc "
"453","this park is still in progress so the facilities are not that complete yet especially near the main monument nearby the gate youll have all your needs though the food is great the dance shows are great they have starbucks too protip dont take the bike to the monument especially if youve just already eaten"
"454","a little bit disappointed in the pricing and then the main statue isnt even done yet ending unknown would recommend you to read up on things first before you go there "
"455","iconic giant statue of wishnu riding garuda giant eagle a blissfully place of cultural experience in bali but prepare for a long walk  climbing a little bit on the way to the statue or you can rent the golf car  "
"456","whether you are a local or a foreigner this place is definitely a mustvisit when in bali the actual gwk statue is a real work of art but currently you can only take photos from outside food is quite readily available here as there are "
"457","its a big cultural park with minimum shades so after  am it gets so so effing hot its not stroller friendly minimum information about the site and visitor information centre is kinda useless theres hardly any maps posted around the site and signage is non existent the hourly dance performances are really good tho"
"458","its a very great place to visityou will get to know the history of our gods along with the natural placesthe natural scenic views of the place is just amazingloved this place will go again in may "
"459","amused by the most beatiful statue ive seen  "
"460","beautiful views and very friendly people lots of shows to keep you entertained use the golf carts to get you to the top"
"461","cool placeone of the must go place in bali but once is enough magnificent statue i must say and there are also performances to entertain you do buy tickets online for a cheaper pricing and better to go by motorbike is u plan to leave the place after sunset traffic is quite bad because it shares the same road from uluwatu temple"
"462","aweinspiring the scale and size it hard to fathom truly breathtaking its so huge it is visible from anywhere in bali"
"463","beautiful huge statue garuda wisnu kencana wonderful huge environment love to walk far as worth it with the beauty every evening also balinese dance show and tourist also dance together and took pictures evening they have garuda theater "
"464","super cool place to get to know about the balinese culture"
"465","its our first time to gwk and it was a very confusing and very bad first impression with parking another struggle having to go to different location to exchange online ticket and in all these confusion i have a very bad impression with "
"466","visitors can see the beautiful scenery of southern bali from gwk  also at gwk has a daily performances and theyre showing many performances we came at afternoon so we only saw tari kecak performances schedule can be seen at their website"
"467","this place is still under construction we liked the grand entrance and the grand statues of vishnu and garuda the monument when completed will also stand out for sure the musical performance at pm was underwhelming for this kind of place"
"468","level  is not accessible due to renovation the dance performance looks like the performers do half hearted movements not uniformed and not synchronized well "
"469","if you are in bali garuda wisnu kencana or gwk is very recomended to visit gwk statue is very huge and tall taller than the statue of miss liberty in new york city "
"470","amazing kecak show and many great statue object recomended use sport shoes no heel no wedges to enjoy walking on stair n climb way"
"471","i came here many years ago and this place is expanding and well maintained impressive tall statue and one in finishing exceeds  meter height i always like the stone hill cut into square with alleys to walk thru amphiteatre holds regular balinese dance which is already included in enterance ticket"
"472","currently an uncomplete project nothing special to see except certain cultural shows garuda statue can be seen better from far"
"473","nice place to visit and spending couple of hours"
"474","perfect place to see one of the biggest statues of the world the hindu god wisnu is here the enterance is k dr per person and if you want a shuttle bus you must pay more k unless you use the shuttle you have to walk  minutes "
"475","nice park in the southern  bali all man made just for tourists the is visible for several mikes alone the beach in western part of bali"
"476","even though not finished yet it was definitely a place to see the history culture and people intrigue me such beautiful care taken with making the statues  they are huge"
"477","no shuttle to go to gwk and thats the problem get ready for exercise anyway so beautiful view when you go up there "
"478","this is lovely place and one must visit it has big statue of lord visnu and garuda one beautiful garden and many picturesque sites for photos one new  mtrs high lord visnu coming up in the area to make this place amazing"
"479","its a totally touristy place ad in purpose made to attract tourists having said that its magnificent it is worth seeing"
"480","an unexpected and interesting destination i was only expecting a big statue but it is more than that cultural experiences tatty shops and heritage worth a visit"
"481","very large park to roaming around the ticket can be used to get in to several places includes dance performance big statue indoor photo spot at the lobby of gwk statue they have art show"
"482","huge place with gorgeous view overlooking bali island it has several venues in it with capacity ranged from hundreds to thousands either indoor or outdoor the main venue is one of the most popular venue in bali made by cutting the "
"483","amazing experience quite expensive but the hourly shows and dances make it worth it you can easily spend a few hours here theres lot to do and see it gives a good glimpse at balis culture the statue of garuda wishnu is impressive and is visible from miles around "
